product_id,product_name,product_group,product_category,brand,base_price,margin_min,margin_max,weight_kg,warranty_months,is_active
PRD-0001,Смартфон Строительство 9,Электроника,Смартфоны,Мазда Соллерс Мануфэкчуринг Рус,45000,0.25,0.35,1.3,12,True
PRD-0002,Мобильный телефон ООО «Рожкова-Веселова»,Электроника,Смартфоны,ЗАО «Моисеева»,120000,0.25,0.35,0.53,24,True
PRD-0003,Флагманский смартфон Екатерина,Электроника,Смартфоны,ИП «Фадеева-Пахомова»,15000,0.25,0.35,1.17,36,True
PRD-0004,Бюджетный смартфон клх Агата,Электроника,Смартфоны,ЛГ Электроникс Рус (LG),120000,0.25,0.35,1.07,36,True
PRD-0005,Премиум смартфон Солид-товарные рынки,Электроника,Смартфоны,НПО «Котов Ефремов»,80000,0.25,0.35,1.18,36,True
PRD-0006,Ноутбук Бетонный Pro,Электроника,Ноутбуки,"ИП «Фролова, Шестаков и Анисимов»",120000,0.25,0.35,1.77,12,True
PRD-0007,Ультрабук АО «Назарова-Воробьева»,Электроника,Ноутбуки,АО «Евсеева»,80000,0.25,0.35,0.6,24,True
PRD-0008,Игровой ноутбук Василий,Электроника,Ноутбуки,Группа Рольф,80000,0.25,0.35,3.06,12,True
PRD-0009,Бизнес-ноутбук клх Руза,Электроника,Ноутбуки,ОАО «Турова Крылов»,200000,0.25,0.35,0.71,24,True
PRD-0010,Профессиональный ноутбук ЭС,Электроника,Ноутбуки,Стройтранснефтегаз,80000,0.25,0.35,4.16,36,True
PRD-0011,Планшет Правый 10,Электроника,Планшеты,РАО «Самсонов»,8000,0.25,0.35,0.32,12,True
PRD-0012,Графический планшет ЗАО «Фокина»,Электроника,Планшеты,Родионова Лтд,8000,0.25,0.35,4.29,12,True
PRD-0013,Детский планшет Наркис,Электроника,Планшеты,СДС-Уголь,40000,0.25,0.35,3.21,24,True
PRD-0014,Бизнес-планшет с. Энгельс,Электроника,Планшеты,НПК Объединенная вагонная компания,25000,0.25,0.35,1.13,24,True
PRD-0015,Фототехника Зеленый K799,Электроника,Фототехника,"НПО «Шаров, Полякова и Панов»",80000,0.25,0.35,3.21,36,True
PRD-0016,Фототехника ИП «Дмитриев»,Электроника,Фототехника,Делл (Dell),15000,0.25,0.35,2.37,24,False
PRD-0017,Профессиональный Фототехника Елена,Электроника,Фототехника,Терентьев Групп,80000,0.25,0.35,1.18,24,True
PRD-0018,Любительский Фототехника Юлия,Электроника,Фототехника,Якобс Дау Эгбертс Рус (Jacobs Douwe Egberts),5000,0.25,0.35,1.22,12,True
PRD-0019,Аудиотехника Космос Y510,Электроника,Аудиотехника,ОАО «Фролова Ермакова»,5000,0.25,0.35,1.13,36,True
PRD-0020,"Аудиотехника НПО «Борисов, Силин и Тихонов»",Электроника,Аудиотехника,РАО «Кошелева Белов»,30000,0.25,0.35,1.14,24,True
PRD-0021,Профессиональный Аудиотехника Геннадий,Электроника,Аудиотехника,ЗАО «Жданов»,50000,0.25,0.35,0.8,12,True
PRD-0022,Любительский Аудиотехника Лора,Электроника,Аудиотехника,ООО «Фомичев»,80000,0.25,0.35,2.74,36,True
PRD-0023,Компьютеры Трубка P697,Компьютерная техника,Компьютеры,Александрова Групп,30000,0.2,0.3,1.17,12,True
PRD-0024,Компьютеры ОАО «Калашникова-Чернов»,Компьютерная техника,Компьютеры,Шестакова и партнеры,5000,0.2,0.3,3.8,12,True
PRD-0025,Профессиональный Компьютеры Кира,Компьютерная техника,Компьютеры,Металлокомплект-М,15000,0.2,0.3,3.98,24,True
PRD-0026,Любительский Компьютеры Силантий,Компьютерная техника,Компьютеры,Федосеева Инкорпорэйтед,50000,0.2,0.3,1.97,24,True
PRD-0027,"Монитор Спорт 32""",Компьютерная техника,Мониторы,ЗАО «Павлова»,10000,0.2,0.3,3.44,36,True
PRD-0028,Игровой монитор ФГ Будущее,Компьютерная техника,Мониторы,Новикова Инк,35000,0.2,0.3,0.65,24,True
PRD-0029,Профессиональный монитор Емельян,Компьютерная техника,Мониторы,АО «Михеев»,10000,0.2,0.3,4.77,36,True
PRD-0030,Бюджетный монитор с. Диксон,Компьютерная техника,Мониторы,НПО «Мишин»,20000,0.2,0.3,2.59,12,True
PRD-0031,Комплектующие Валюта P405,Компьютерная техника,Комплектующие,"РАО «Громов, Крюков и Беляева»",80000,0.2,0.3,1.07,24,True
PRD-0032,Комплектующие ИП «Шубина»,Компьютерная техника,Комплектующие,Павлова Лимитед,80000,0.2,0.3,4.77,36,False
PRD-0033,Профессиональный Комплектующие Сильвестр,Компьютерная техника,Комплектующие,ЗАО «Молчанов Голубев»,80000,0.2,0.3,1.69,12,True
PRD-0034,Любительский Комплектующие Сидор,Компьютерная техника,Комплектующие,ООО «Ковалев»,30000,0.2,0.3,4.41,24,True
PRD-0035,Периферия Четыре B346,Компьютерная техника,Периферия,Мострансавто,5000,0.2,0.3,3.69,12,False
PRD-0036,Периферия АО «Копылов-Якушев»,Компьютерная техника,Периферия,Прогресс,80000,0.2,0.3,3.85,12,True
PRD-0037,Профессиональный Периферия Никодим,Компьютерная техника,Периферия,НК Дулисьма,80000,0.2,0.3,0.91,36,True
PRD-0038,Любительский Периферия Селиван,Компьютерная техника,Периферия,НПО «Меркушев Рогов»,50000,0.2,0.3,4.83,36,True
PRD-0039,Крупная техника Плод N806,Бытовая техника,Крупная техника,ТД Интерторг,30000,0.15,0.25,2.06,36,True
PRD-0040,Крупная техника РЕ Трэйдинг (LPP),Бытовая техника,Крупная техника,РАО «Рыбакова Суханов»,50000,0.15,0.25,4.51,24,True
PRD-0041,Профессиональный Крупная техника Серафим,Бытовая техника,Крупная техника,Филиппов Групп,15000,0.15,0.25,0.41,12,True
PRD-0042,Любительский Крупная техника Надежда,Бытовая техника,Крупная техника,ОАО «Молчанов-Бобылева»,15000,0.15,0.25,2.98,12,True
PRD-0043,Малая техника Песня H746,Бытовая техника,Малая техника,ООО «Соболева-Евсеева»,15000,0.15,0.25,0.43,12,True
PRD-0044,"Малая техника НПО «Харитонов, Лукина и Новиков»",Бытовая техника,Малая техника,СУЭК,5000,0.15,0.25,2.62,24,True
PRD-0045,Профессиональный Малая техника Сидор,Бытовая техника,Малая техника,РАО «Веселова»,15000,0.15,0.25,2.74,36,False
